episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
34,793,3850,A,Win,41,Unknown,Yes,SM3D
34,794,3834,A,Loss,-16,Like,No,SMB3
34,795,3823,A,Loss,-11,Unknown,No,SMB1
34,796,3823,A,Draw,0,Boo,No,SMW
34,797,3812,A,Loss,-11,Unknown,Yes,SMB1
34,798,3798,A,Loss,-14,Meh,No,NSMBU
34,799,3841,A,Win,43,Like,No,SM3DW
34,800,3837,A,Loss,-4,Like,No,SM3DW
34,801,3824,A,Loss,-13,Like,No,NSMBU
34,802,3809,A,Loss,-15,Boo,No,SMB1
34,803,3793,A,Loss,-16,Unknown,No,SM3DW
34,804,3781,A,Loss,-12,Unknown,No,SMB1
34,805,3764,A,Loss,-17,Like,Yes,NSMBU
34,806,3761,A,Loss,-3,Unknown,No,SM3DW
34,807,3757,A,Loss,-4,Boo,No,SMB1
34,808,3743,A,Loss,-14,Unknown,Yes,NSMBU
34,809,3727,A,Loss,-16,Unknown,No,NSMBU
34,810,3766,A,Win,39,Meh,No,SMB1
34,811,3754,A,Loss,-12,Meh,No,SM3DW
34,812,3739,A,Loss,-15,Unknown,No,SMB3
34,813,3783,A,Win,44,Unknown,Yes,NSMBU
34,814,3780,A,Loss,-3,Meh,No,SM3DW
34,815,3822,A,Win,42,Unknown,Yes,SM3DW
34,816,3806,A,Loss,-16,Unknown,No,NSMBU
34,817,3798,A,Loss,-8,Like,No,SMB1
34,818,3836,A,Win,38,Like,No,SM3DW
34,819,3832,A,Loss,-4,Meh,No,SM3DW
34,820,3821,A,Loss,-11,Like,No,SM3DW
34,821,3810,A,Loss,-11,Like,No,NSMBU
35,822,3792,A,Loss,-18,Unknown,No,SM3D
35,823,3780,A,Loss,-12,Like,No,SMB1
35,824,3763,A,Loss,-17,Boo,No,SMW
35,825,3749,A,Loss,-14,Boo,No,NSMBU
35,826,3795,A,Win,46,None,No,SMB3
35,827,3782,A,Loss,-13,Like,No,SMB1
35,828,3833,A,Win,51,Like,No,NSMBU
35,829,3823,A,Loss,-10,Like,No,SMB1
35,830,3813,A,Loss,-10,Unknown,No,NSMBU
35,831,3800,A,Loss,-13,Unknown,No,SM3DW
35,832,3786,A,Loss,-14,Boo,No,SMB3
35,833,3834,A,Win,48,Like,No,SMW
35,834,3815,A,Loss,-19,Boo,No,SMB1
35,835,3859,A,Win,44,Meh,No,SMB1
35,836,3859,A,Draw,0,Unknown,No,SMB3
35,837,3846,A,Loss,-13,Meh,No,SMW
35,838,3826,A,Loss,-20,Unknown,No,SMB1
35,839,3812,A,Loss,-14,Unknown,Yes,SMB1
35,840,3795,A,Loss,-17,Meh,No,SMW
35,841,3778,A,Loss,-17,Unknown,No,SMW
35,842,3762,A,Loss,-16,Boo,No,NSMBU
35,843,3759,A,Loss,-3,Boo,No,NSMBU
35,844,3748,A,Loss,-11,Like,Yes,NSMBU
35,845,3733,A,Loss,-15,Unknown,No,NSMBU
35,846,3718,A,Loss,-15,Unknown,No,NSMBU
35,847,3765,A,Win,47,Unknown,No,SMB1
35,848,3762,A,Loss,-3,Unknown,No,NSMBU
35,849,3755,A,Loss,-7,Like,No,SMW
35,850,3810,A,Win,55,Boo,No,SMW
35,851,3797,A,Loss,-13,Like,No,SMB3
35,852,3835,A,Win,38,Boo,No,NSMBU
35,853,3824,A,Loss,-11,Unknown,No,SMB3
35,854,3812,A,Loss,-12,Like,No,SM3DW
35,855,3792,A,Loss,-20,Boo,No,SM3DW
35,856,3779,A,Loss,-13,Like,No,SMB1
36,857,3773,A,Loss,-6,Unknown,No,SM3D
36,858,3822,A,Win,49,Like,Yes,SMW
36,859,3818,A,Loss,-4,None,No,SM3DW
36,860,3861,A,Win,43,Like,No,NSMBU
36,861,3858,A,Loss,-3,Boo,No,SM3DW
36,862,3842,A,Loss,-16,None,No,SMW
36,863,3825,A,Loss,-17,Unknown,No,NSMBU
36,864,3822,A,Loss,-3,Boo,No,NSMBU
36,865,3808,A,Loss,-14,Like,Yes,SM3DW
36,866,3854,A,Win,46,Boo,No,SM3DW
36,867,3851,A,Loss,-3,Boo,No,SMB1
36,868,3837,A,Loss,-14,Like,No,SMW
36,869,3826,A,Loss,-11,Unknown,No,SM3DW
36,870,3816,A,Loss,-10,Boo,No,NSMBU
36,871,3805,A,Loss,-11,Unknown,No,SMW
36,872,3789,A,Loss,-16,Unknown,No,NSMBU
36,873,3778,A,Loss,-11,Meh,No,SM3DW
36,874,3762,A,Loss,-16,Unknown,No,SMW
36,875,3807,A,Win,45,Meh,No,SMB3
36,876,3790,A,Loss,-17,Boo,No,SMB1
36,877,3788,A,Loss,-2,Unknown,No,SMB1
36,878,3773,A,Loss,-15,Boo,No,SM3DW
36,879,3769,A,Loss,-4,Like,No,NSMBU
36,880,3817,A,Win,48,Unknown,No,SMB1
36,881,3804,A,Loss,-13,Unknown,No,SM3DW
36,882,3790,A,Loss,-14,Unknown,No,SM3DW
36,883,3776,A,Loss,-14,Like,No,NSMBU
36,884,3758,A,Loss,-18,Unknown,No,SMW
36,885,3755,A,Loss,-3,Like,No,NSMBU
36,886,3742,A,Loss,-13,Like,Yes,SMB1
36,887,3728,A,Loss,-14,Like,Yes,NSMBU
36,888,3776,A,Win,48,Unknown,No,SM3DW
36,889,3762,A,Loss,-14,Like,No,SMW
36,890,3748,A,Loss,-14,Unknown,No,SMB1
36,891,3730,A,Loss,-18,Unknown,No,SM3DW
36,892,3713,A,Loss,-17,Like,No,SM3DW
36,893,3709,A,Loss,-4,Like,No,NSMBU
36,894,3695,A,Loss,-14,Unknown,No,NSMBU
36,895,3687,A,Loss,-8,Boo,No,SMB3
36,896,3734,A,Win,47,Unknown,No,NSMBU
36,897,3768,A,Win,34,Like,No,NSMBU
36,898,3753,A,Loss,-15,Unknown,No,SMB1
36,899,3739,A,Loss,-14,Unknown,Yes,NSMBU
36,900,3784,A,Win,45,Unknown,No,SM3DW
36,901,3770,A,Loss,-14,Unknown,No,NSMBU
36,902,3753,A,Loss,-17,Boo,No,SMW
36,903,3737,A,Loss,-16,Unknown,No,SM3DW
36,904,3722,A,Loss,-15,Unknown,No,SMB1
36,905,3706,A,Loss,-16,Boo,No,SM3DW
36,906,3690,A,Loss,-16,Unknown,No,SMB3
36,907,3673,A,Loss,-17,Unknown,No,SMB3
36,908,3660,A,Loss,-13,Unknown,No,SM3DW
36,909,3691,A,Win,31,Unknown,No,SM3DW
37,910,3678,A,Loss,-13,Meh,No,SMB
37,911,3659,A,Loss,-19,Unknown,Yes,SMB1
37,912,3653,A,Loss,-6,Unknown,Yes,SM3DW
37,913,3689,A,Win,36,Like,No,NSMBU
37,914,3672,A,Loss,-17,Like,No,NSMBU
37,915,3657,A,Loss,-15,Unknown,No,SMB1
37,916,3695,A,Win,38,Unknown,No,NSMBU
37,917,3692,A,Loss,-3,Like,Yes,NSMBU
37,918,3679,A,Loss,-13,Boo,No,NSMBU
37,919,3663,A,Loss,-16,None,No,SM3DW
37,920,3649,A,Loss,-14,Like,No,NSMBU
37,921,3632,A,Loss,-17,Unknown,No,SMW
37,922,3674,A,Win,42,Like,No,SMB1
37,923,3658,A,Loss,-16,Unknown,Yes,SMB1
37,924,3642,A,Loss,-16,Like,No,SM3DW
37,925,3638,A,Loss,-4,Like,No,NSMBU
37,926,3672,A,Win,34,Like,No,NSMBU
37,927,3709,A,Win,37,Like,Yes,SMW
37,928,3693,A,Loss,-16,Unknown,No,SMW
37,929,3736,A,Win,43,Unknown,No,SM3DW
37,930,3776,A,Win,40,None,Yes,SM3DW
37,931,3759,A,Loss,-17,Unknown,No,SMW
37,932,3802,A,Win,43,Meh,No,SM3DW
